raw,value,scale,context,type
£3.8 m,"3,800,000.00",million,r total expenditure includes irrecoverable vat of (2021: £3.1m) and fees to auditors for audit of f,expenditure
£0.1 m,"100,000.00",million,inancial statements of £0.1m (2021: ).,unknown
£36.3 m,"36,300,000.00",million,or 2021 are restated across directorates to total and include property and other support costs whic,expenditure
£1.9 m,"1,900,000.00",million,"ernational red cross and red crescent movement of (2021: £2.1m),",unknown
£2.0 m,"2,000,000.00",million,> £1.0m ( 2021) of properties and other tangible fixed asse,unknown
£1.8 m,"1,800,000.00",million,> 2014 yemen complex emergency - 2022 £1.9m (2021 ),unknown
£3.2 m,"3,200,000.00",million,> 2020 beirut port explosion response - 2022 (2021 £4m),unknown
£1.4 m,"1,400,000.00",million,d funds were in deficit at the year-end totalling (2021:£0.3m).,unknown
£1.3 m,"1,300,000.00",million,>£7.0m and respectively from the overall ukraine and afghani,unknown
£0.6 m,"600,000.00",million,>£3.5m and respectively from the ppl partnership management,unknown
£2.0 m,"2,000,000.00",million,> from the overall disaster fund to specific intern,unknown
£0.3 m,"300,000.00",million,ational programmes including £0.4m to syria and to pakistan floods,unknown
£1.5 m,"1,500,000.00",million,the of transfers between the general and restricted f,unknown
£0.9 m,"900,000.00",million,unds comprises a top up of the disaster fund plus other approved r,unknown
£9.3 m,"9,300,000.00",million,assets with a net book value of were reclassified from tangible fixed assets to i,unknown
£3.2 m,"3,200,000.00",million,"this comprised of it software, websites & licences previously wi",unknown
£5.7 m,"5,700,000.00",million,"thin vehicles,equipment & furniture (cost and accumulated depreciation £2.5m)",unknown
£6.1 m,"6,100,000.00",million,and assets in the course of construction. see note 10,unknown
£3.2 m,"3,200,000.00",million,m under development which has a net book value of ,unknown
£1.8 m,"1,800,000.00",million,"m system under development, an impairment loss of ",unknown
£15 m,"15,000,000.00",million,", the current assets investments balance included of money market funds which are short term, highl",unknown
£15 m,"15,000,000.00",million,year comparative has been restated to reclassify of money market funds from current asset  investm,unknown
£0,0.00,units,other stocks include £2.1m (2021: ) in respect of gifts in kind for onward distribut,unknown
£15.0 m,"15,000,000.00",million,", the current assets investments balance included of money market funds which are short term, highl",unknown
£15.0 m,"15,000,000.00",million,year comparative has been restated to reclassify ,unknown
£0.4 m,"400,000.00",million,"as further explained at note 18, the £0.2m (2021: ) provision as at 31 december 2022 shown above rep",unknown
"£70,000","70,000.00",thousand,"£60,001 - £70,001 - £80,000",unknown
"£90,000","90,000.00",thousand,"£80,001 - £90,001 - £100,000",unknown
"£110,000","110,000.00",thousand,"£100,001 - £110,001 - £120,000",unknown
"£130,000","130,000.00",thousand,"£120,001 - £130,001 - £140,000",unknown
"£150,000","150,000.00",thousand,"£140,001 - £150,001 - £160,000",unknown
"£170,000","170,000.00",thousand,"£160,001 - £170,001 - £180,000",unknown
"£190,000","190,000.00",thousand,"£180,001 - 100.7",unknown
"£60,000","60,000.00",thousand,amounted to over in the year were as follows:,unknown
£0.6 m,"600,000.00",million,osts included in expenditure during the year were (2021: 0.6m).,expenditure
£1.0 m,"1,000,000.00",million,t personnel for their services during the year is (2021: £1.1m).,unknown
£000,0.00,units, 2021,unknown
£000,0.00,units, expenses incurred by trustees and reimbursed by th,expenditure
£6.5 m,"6,500,000.00",million,scheme as at 31 december 2019 showed a surplus of .,unknown
£1.4 m,"1,400,000.00",million,scheme as at 31 december 2019 showed a surplus of .,unknown
£5.0 m,"5,000,000.00",million,in 2022 the total cost of these contributions was ,expenditure
£4.2 m,"4,200,000.00",million,(2021: ) and the balance outstanding at 31 december 2022,unknown
£0.6 m,"600,000.00",million,was £0.6m (2021: ).,unknown
£2.9 m,"2,900,000.00",million,liability at as at 30 september 2021.,unknown
£31.6 m,"31,600,000.00",million,luation as at 30 september 2020 show a deficit of . a deficit recovery plan aims to eliminate the fu,unknown
£0.2 m,"200,000.00",million,itish red cross as part of this recovery plan are per annum. in line with the requirements of the,unknown
£6.8 m,"6,800,000.00",million,operating lease charges during 2022 were for property leases (2021: £6.6m) and £1.1m for o,unknown
£1.2 m,"1,200,000.00",million,ther leases (2021: ).,unknown
"£31,782","31,782.00",thousand,"made donations to the british red cross totalling during the year (2021: £28,842).",income
£0.3 m,"300,000.00",million,there were of capital commitments at 31 december 2022 (2021:,unknown
£0.2 m,"200,000.00",million, ).,unknown
£000,0.00,units, balance 1,unknown
£000,0.00,units, balance 31,unknown
£000,0.00,units, purpose of grant,unknown
£000,0.00,units, -,unknown
£0.00,0.00,units,the year and income received in the year totalled 2m (2021:£3.0m).,income
£9.4 m,"9,400,000.00",million,"he balance sheet as at 31 december 2022 of amount is unlikely to be fully recoverable, due to the c",unknown
